question_id,priority,stage,examiner_or_reviewer_question,authority,current_status,current_answer_or_route,evidence_route,missing_answer,next_action
EQ-011,P0,112a,"Does the specification demonstrate possession of every claimed limitation?","35 USC 112(a); MPEP 2161",PARTIAL,"P1 support matrix exists, but many coordinates are incomplete and actual final limitations are absent.","P1/P1_SUPPORT_MATRIX.csv","Written-description chart for each limitation.","Map every final limitation to exact P1 text/figure."
EQ-012,P0,112a,"Does the disclosure enable the full scope of each claim without undue experimentation?","35 USC 112(a); MPEP 2161",PARTIAL,"Implementation/history evidence exists, but full-scope enablement is not charted against final claims.","P1/P1_SUPPORT_MATRIX.csv; data/proof_records.jsonl","Algorithms, flows, schemas, variants, reproducibility evidence.","Build enablement packet per independent claim."
EQ-013,P1,112a,"Does the filing-ready specification disclose the best mode contemplated by the inventor?","35 USC 112(a); USPTO Utility Filing Guide",OPEN,"No explicit best-mode confirmation is recorded against the final claim set.","P1/NONPROVISIONAL_READINESS.md","Inventor confirmation plus disclosure location.","Identify best mode and confirm disclosure."
EQ-014,P0,112b,"Do the claims particularly point out and distinctly claim the invention?","35 USC 112(b); MPEP 2173",OPEN,"Final claim language and term boundaries are not fixed.","P1/NONPROVISIONAL_CLAIM_READINESS.csv","Definiteness review and term glossary.","Resolve ambiguous scope, relative terms, functional boundaries, antecedent basis."
EQ-015,P1,112f,"Does any functional limitation invoke 112(f), and if so is corresponding structure/algorithm disclosed?","MPEP 2181",OPEN,"No final 112(f) trigger/algorithm map exists.","P1/NONPROVISIONAL_READINESS.md","Limitation-by-limitation 112(f) analysis.","Map implicated functions to disclosed algorithm/structure."
EQ-016,P1,drawings,"Do the drawings support every feature necessary to understand the claims?","USPTO Utility Patent Application Filing Guide",PARTIAL,"P1 drawings are frozen and identified; final claim-to-figure chart is incomplete.","P1/P1_SUPPORT_MATRIX.csv; P1/P1_FILING_ANCHOR.md","Final claim element to figure/reference mapping.","Build figure support chart."
EQ-017,P0,inventorship,"Are the correct natural-person inventor(s) named for the subject matter actually claimed?","35 USC 115; USPTO inventorship guidance",OPEN,"Human-origin evidence exists, but inventorship is not mapped against final claim limitations.","P1/NONPROVISIONAL_READINESS.md; data/proof_records.jsonl","Conception attribution for each claim/limitation.","Create claim-by-claim human conception map."
EQ-018,P0,inventorship,"Where AI tools participated, what evidence shows human conception, selection, correction, and technical decision?","USPTO AI-assisted inventorship guidance",PARTIAL,"Human corrections and architecture decisions are preserved, but not consolidated by claim.","data/proof_records.jsonl; coverage/reviews/; research/","Claim-specific human conception chain.","Build compact inventorship packet per independent claim."
EQ-019,P0,candor,"What known information may be material to patentability, and has it been surfaced for IDS review?","37 CFR 1.56; MPEP 2001",PARTIAL,"Material-information register exists but is underpopulated relative to known research pressure.","P1/MATERIAL_INFORMATION_REGISTER.csv","Complete candidate-material set and IDS treatment decision.","Continue prior-art search; record exact dates/teachings; route to IDS review."
EQ-020,P0,102_disclosures,"Was there any pre-P1 public disclosure, public use, sale/offer for sale, publication, demo, public code, or other event affecting prior-art/effective-date analysis?","35 USC 102",OPEN,"Current public-disclosure register does not establish the pre-P1 answer.","P1/PUBLIC_DISCLOSURE_REGISTER.csv","Pre-P1 public-disclosure/use/sale audit with exact dates/content.","Search public Git, websites, messages, demos, posts, offers, talks, and releases through P1 filing."
EQ-021,P1,102_exceptions,"If an inventor-originated disclosure occurred before filing, does a statutory exception/grace-period theory apply and what foreign-rights impact exists?","35 USC 102(b); foreign-law review",OPEN,"Depends on EQ-020 facts.","P1/PUBLIC_DISCLOSURE_REGISTER.csv","Exact disclosure event and legal treatment.","Complete EQ-020 first; obtain patent-professional review."
EQ-022,P1,claim_search,"What is the closest prior art for each independent claim, and which limitations remain missing from it?","MPEP 2103; 2141",OPEN,"Known references exist, but there is no complete closest-art matrix.","P1/MATERIAL_INFORMATION_REGISTER.csv; research/","Search record and element-level comparison.","Build search terms/classes from actual claims; preserve strongest contrary references."
EQ-023,P1,claim_scope,"Are dependent claims properly narrower, supported, and useful as fallback positions?","35 USC 112(d)",OPEN,"Final dependent claim tree is not present.","P1/NONPROVISIONAL_CLAIM_READINESS.csv","Dependent claim architecture and support.","Draft after independent-claim/prior-art pressure is understood."
EQ-024,P1,restriction,"Do the claims present multiple independent/distinct inventions that may trigger restriction/election?","35 USC 121; MPEP Chapter 800",OPEN,"No final claim-family restriction analysis exists.","P1/NONPROVISIONAL_READINESS.md","Claim-family grouping and restriction risk.","Group claims by invention/subcombination/process/apparatus and pressure-test."
EQ-025,P2,double_patenting,"Do related applications/patents create double-patenting issues?","MPEP 804",N_A_PENDING_CONFIRMATION,"No conflicting related claim set is established in this proof front door.","P1/NONPROVISIONAL_READINESS.md","Confirm related-application landscape.","Recheck when additional U.S. applications exist."
EQ-026,P0,formalities,"Will the nonprovisional properly claim domestic benefit to P1 in the ADS?","37 CFR 1.78; USPTO Utility Filing Guide",FILING_ACTION,"P1 anchor exists; actual nonprovisional ADS has not been filed.","P1/P1_FILING_ANCHOR.md","Final ADS and specific P1 benefit reference.","Prepare filing packet and verify benefit claim."
EQ-027,P0,formalities,"Are specification, at least one claim, abstract, necessary drawings, oath/declaration, and filing/search/examination fees present?","USPTO Utility Patent Application Filing Guide",FILING_ACTION,"Readiness checklist exists; final filing packet is not complete.","P1/NONPROVISIONAL_READINESS.md","Final filing-ready documents and payment/formality check.","Assemble packet once claims are fixed."
EQ-028,P1,formalities,"Does the abstract comply with current USPTO requirements including the 150-word limit?","37 CFR 1.72; USPTO Utility Filing Guide",FILING_ACTION,"No final abstract is present.","P1/NONPROVISIONAL_READINESS.md","Final abstract.","Draft after claim/spec architecture is stable."
EQ-029,P1,formalities,"Are claim form, numbering, dependency, single-sentence structure, and antecedent references compliant?","USPTO Utility Filing Guide; MPEP 608",OPEN,"Cannot evaluate until final claims exist.","P1/NONPROVISIONAL_CLAIM_READINESS.csv","Formal claim review.","Run formal claim check after drafting."
EQ-030,P1,formalities,"Are specialized submissions such as sequence listings, large tables, or computer listings required?","USPTO Utility Patent Application Filing Guide",N_A_PENDING_CONFIRMATION,"Likely not applicable, but not affirmatively closed.","P1/NONPROVISIONAL_READINESS.md","Explicit applicability decision.","Mark N/A only after final specification review."
EQ-031,P0,new_matter,"Does any proposed nonprovisional limitation rely on technical matter created only after P1, and is later-only matter kept separate from P1 priority?","35 USC 132(a); 119(e)",OPEN,"Repository now has a hard no-backdating rule; final claims still need the actual check.","PROOF_SCRAPER_MISSION.md; P1/P1_SUPPORT_MATRIX.csv","Final claim-level new-matter/effective-date disposition.","Mark each limitation P1-supported or later-only."
EQ-032,P1,prosecution_readiness,"Can a reviewer answer each rejection ground without reconstructing the history from scratch?","MPEP 2103 compact prosecution framework",PARTIAL,"The proof graph exists, but examiner-question routing is new and many answers remain open.","P1/EXAMINER_FRONT_DOOR.md; P1/EXAMINER_QUESTION_MATRIX.csv","Close P0 rows or expose exact filing/legal action.","Drive extraction from this matrix, not chronology alone."
