record_id,source_repository,source_commit,source_path,source_sha256,preservation_mode,content_rule,status
"CL-011","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Human Condition & Social Nuance Manifesto.html","e83cd6ff0f3fc4d4e6d7cc42d3bb970a86090af0bb746a914e84119324781403","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-012","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Honda Rental Availability Charlotte Area.html","49a6e0c2bd67678d3590d69fc4eddb53291dc387fd795bc084f9d1936b9c68c5","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-013","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Nas Song Analysis and AI Alignment.html","23ddabb15a301f2129d5c679fc5965b930a705fcce18a82ba2f456733ab8bf27","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-014","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Recalling Islamic Books and AI Analysis.html","dca5ee85f9319c79be8ae43eda5badf16969322ec165b694ab1403e9561a0971","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-015","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Forging a Sovereign AI Core.html","898d72305571c284d5dea0f096c29b7253f52a3d5c0e80c1fc3b6f59ab68de47","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-016","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Beyond Ones and Zeros_ The Unseen.html","92a4a3686054857715417d2bb8cb9a8d33a8bfd6e8ac39482d6b2ccc18be7951","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-017","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Lauryn Hill_s Exit Strategy_ Ghost Operator.html","f9d1bbab8e1d1aab82593599d6cb0abc6ac68bd6058875ce0300c1684bb8077a","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-018","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Lauryn Hill_ Un-Nail-able Operator Blueprint.html","85bf0bd8d39fcc144f8bf7e8a0f65a3fef3534f6a780468f77dbc4a87b5d7f23","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-019","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Core Calibration and Readiness.html","35922426958fe4c67623be58ff70bedeb0620dc92eb9541e0ae8a76bb9653d2e","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-020","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/Operational Reports/2026-07-21_Music_Symbolic_Context_and_Wisdom_Calibration_Report.md","","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE_BLOB_SHA_20cbaadeb201b48fd4f6358a5f32d2e812f5fc81"
"CL-021","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Song Analysis and Adroitech Logic.html","5233cab2c5c33fad63d3d57e3d899253f3015c0e879cbcafd96f74b328be4067","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-022","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Act 2_ Operational Objective Deployed.html","6510329f58ed43c8913c0ec4dd66af96853ae63f644ffe06f733d64fb144efdf","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
